"년도","지역코드","시설유형","쉼터명칭","도로명주소","지번상세주소","면적","이용가능인원","비고","운영시작일","운영종료일","경도","위도","X좌표","Y좌표"
"2025","1138064000","099","증산정보도서관","서울특별시 은평구 증산로5길 6","","33.00","10","","20240520","20240930","126.907665","37.582784","191844.293391","553696.124785"
"2025","1138064000","005","증산동주민센터","서울특별시 은평구 증산서길 89","","143.00","43","","20240520","20240930","126.907061","37.584365","191791.117026","553871.650448"
"2025","1138064000","001","증산할머니경로당","서울특별시 은평구 증산로9길 25","","48.00","20","","20240520","20240930","126.908000","37.585900","191874.186585","554041.958660"
"2025","1138064000","001","증산제2경로당","서울특별시 은평구 증산로9길 6-17 ","","147.00","15","","20240520","20240930","126.909827","37.585378","192035.499060","553983.866092"
"2025","1138065000","005","수색동주민센터","서울특별시 은평구 수색로 280","","66.00","20","","20240520","20240930","126.893670","37.583541","190608.179548","553781.417046"
"2025","1138065000","001","구룡경로당","서울특별시 은평구 수색로 388-7 ","","74.00","20","","20240520","20240930","126.884666","37.589877","189813.730102","554485.579957"
"2025","1138065000","001","한숲(수색한숲)(임대)아파트경로당","서울특별시 은평구 은평터널로 66","","76.00","10","","20240520","20240930","126.901378","37.586504","191289.374906","554109.589286"
"2025","1138065000","001","물빛경로당","서울특별시 은평구 수색로22가길 6-8 ","","100.00","30","","20240520","20240930","126.889994","37.585812","190283.811680","554033.901681"
"2025","1138069000","099","은뜨락도서관","서울특별시 은평구 통일로 972","","33.00","10","","20240520","20240930","126.920353","37.630329","192969.437064","558972.096616"
"2025","1138069000","001","은평뉴타운상림마을9단지아파트경로당","서울특별시 은평구 진관4로 78-8 ","","99.00","45","","20240520","20240930","126.928721","37.645921","193709.390402","560702.009047"
"2025","1153051000","005","신도림동주민센터","서울특별시 구로구 신도림로 40","","1,983.00","600","","20240601","20240930","126.880604","37.507784","189443.449677","545374.710904"
"2025","1154510100","099","책이든거리작은도서관","","","12.00","10","","20240801","20240930","126.888539","37.466335","190139.551345","540773.534298"
"2025","1154551000","099","금천구립가산도서관","서울특별시 금천구 가산로5길 43","","20.00","20","","20240801","20240930","126.892119","37.473492","190457.228437","541567.496006"
"2025","1154551000","008","신한은행 디지털중앙지점","서울특별시 금천구 가산디지털1로 186","","18.00","20","","20240612","20240930","126.881554","37.482010","189523.854505","542514.059033"
"2025","1154551000","002","금천누리종합사회복지관","서울특별시 금천구 가산로 129","","40.00","20","","20240520","20240930","126.891758","37.476845","190425.714525","541939.737390"
"2025","1154551000","001","상록경로당","서울특별시 금천구 벚꽃로38길 35","","129.00","40","","20240520","20240930","126.884300","37.482800","189766.828047","542601.436602"
"2025","1154551000","001","우정경로당","서울특별시 금천구 두산로3길 49","","180.21","30","","20240520","20240930","126.888706","37.472685","190155.228713","541478.381019"
"2025","1154551000","001","매봉경로당","서울특별시 금천구 시흥대로149가길 6","","117.00","30","","20240520","20240930","126.895548","37.475588","190760.778134","541799.848615"
"2025","1154551000","005","가산동주민센터","서울특별시 금천구 가산로 129","","163.10","30","","20240520","20240930","126.891787","37.476914","190428.235359","541947.370384"
"2025","1154561000","099","금천뮤지컬센터","서울특별시 금천구 시흥대로115길 48","","32.00","20","","20240819","20240930","126.893849","37.468940","190609.698097","541062.189040"
"2025","1154561000","008","새마을금고 금천중앙","서울특별시 금천구 가산로 52","","14.00","15","","20240801","20240930","126.897162","37.471723","190903.065970","541370.661743"
"2025","1154568000","099","금천구장애인돌봄쉼터","서울특별시 금천구 두산로 70","","110.00","30","","20240520","20240930","126.895491","37.468455","190754.848852","541008.153802"
"2025","1154561000","099","복숭아마을 수다방","서울특별시 금천구 시흥대로139길 28","","53.68","15","","20240520","20240930","126.896518","37.472971","190846.259594","541509.290858"
"2025","1154561000","099","금하마을주민공동이용시설(1층 공유부엌)","서울특별시 금천구 금하로1다길 16","","53.69","16","","20240520","20240930","126.891419","37.452986","190392.694206","539291.713400"
"2025","1154561000","099","금나래문화체육센터(1층 북카페)","서울특별시 금천구 시흥대로79길 32","","252.72","76","","20240520","20240930","126.896411","37.458887","190835.075571","539946.168204"
"2025","1154561000","099","모두의 마을공간 커뮤니티센터(1층 다목적홀)","서울특별시 금천구 벚꽃로 14","","104.00","31","","20240520","20240930","126.894407","37.457256","190657.597479","539765.379666"
"2025","1154561000","002","금천어르신복지센터","서울특별시 금천구 범안로17길 22","","60.00","10","","20240520","20240930","126.894400","37.467400","190658.213673","540891.192900"
"2025","1154561000","001","말미경로당","서울특별시 금천구 범안로17길 22","","199.00","20","","20240520","20240930","126.894419","37.467502","190659.924820","540902.467222"
